ano,mes,densidade
2012,1,8.9757159133383
2012,1,8.9757159133383
2015,1,11.914177244767
2015,1,11.914177244767
2023,1,21.374656223342
2023,1,21.374656223342
2020,1,15.673742384056
2020,1,15.673742384056
2014,1,11.129434234149
2014,1,11.129434234149
2021,1,17.333803711874
2021,1,17.333803711874
2022,1,19.556207913964
2022,1,19.556207913964
2017,1,13.039079301858
2017,1,13.039079301858
2016,1,12.473176620433
2016,1,12.473176620433
2011,1,7.6171786569741
2011,1,7.6171786569741
2018,1,14.12742403748
2018,1,14.12742403748
2019,1,15.061848515239
2019,1,15.061848515239
2013,1,10.364103943401
2013,1,10.364103943401
2018,2,14.182536956675
2018,2,14.182536956675
2021,2,17.556159954369
2021,2,17.556159954369
2023,2,21.593315590747
2011,2,7.7430009816608
2011,2,7.7430009816608
2019,2,15.151812616372
2019,2,15.151812616372
2022,2,19.62914281083
2022,2,19.62914281083
2015,2,12.034878826211
2015,2,12.034878826211
2017,2,13.093739896072
2017,2,13.093739896072
2016,2,12.537764843222
2016,2,12.537764843222
2023,2,21.619977239669
2020,2,15.786991137756
2020,2,15.786991137756
2012,2,9.0578559708987
2012,2,9.0578559708987
2013,2,10.4787204577
2013,2,10.4787204577
2014,2,11.236374079358
2014,2,11.236374079358
2010,3,6.7491777044982
2010,3,6.7491777044982
2009,3,5.7977633019221
2009,3,5.7977633019221
2023,3,21.777786036719
2018,3,14.316939225481
2018,3,14.316939225481
2014,3,11.339991844238
2014,3,11.339991844238
2012,3,9.2110690274342
2012,3,9.2110690274342
2011,3,7.8970892475901
2011,3,7.8970892475901
2015,3,12.108217195251
2015,3,12.108217195251
2022,3,20.049404822074
2022,3,20.049404822074
2008,3,4.8499151171633
2008,3,4.8499151171633
2019,3,15.259900841699
2019,3,15.259900841699
2017,3,13.232117403037
2017,3,13.232117403037
2007,3,3.4660335730135
2007,3,3.4660335730135
2021,3,17.821099231656
2021,3,17.821099231656
2020,3,15.806434658576
2020,3,15.806434658576
2016,3,12.626779916939
2016,3,12.626779916939
2023,3,21.719742079088
2013,3,10.623516880069
2013,3,10.623516880069
2023,4,21.775710727794
2021,4,18.084068786212
2021,4,18.084068786212
2016,4,12.671782642236
2016,4,12.671782642236
2018,4,14.438425728125
2018,4,14.438425728125
2011,4,8.0037198219758
2011,4,8.0037198219758
2022,4,20.007322507446
2022,4,20.007322507446
2017,4,13.273094407825
2017,4,13.273094407825
2015,4,12.180919489427
2015,4,12.180919489427
2019,4,15.285458781006
2019,4,15.285458781006
2023,4,21.689864568584
2013,4,10.742763328154
2013,4,10.742763328154
2012,4,9.3647063660291
2012,4,9.3647063660291
2014,4,11.423384616924
2014,4,11.423384616924
2020,4,15.980315219635
2020,4,15.980315219635
2012,5,9.5095904075093
2012,5,9.5095904075093
2015,5,12.271654512154
2015,5,12.271654512154
2018,5,14.527944252816
2018,5,14.527944252816
2019,5,15.452126167115
2019,5,15.452126167115
2021,5,18.436378088009
2021,5,18.436378088009
2013,5,10.851357679999
2013,5,10.851357679999
2020,5,16.132373926124
2020,5,16.132373926124
2011,5,8.1208754012258
2011,5,8.1208754012258
2014,5,11.499627305668
2014,5,11.499627305668
2017,5,13.358773334999
2017,5,13.358773334999
2022,5,19.85793448614
2022,5,19.85793448614
2016,5,12.744571185568
2016,5,12.744571185568
2007,6,3.5511684265025
2007,6,3.5511684265025
2008,6,5.0986031162081
2008,6,5.0986031162081
2020,6,16.330949566881
2020,6,16.330949566881
2011,6,8.1925510675688
2011,6,8.1925510675688
2012,6,9.5910745212628
2012,6,9.5910745212628
2014,6,11.566856401496
2014,6,11.566856401496
2016,6,12.809846367442
2016,6,12.809846367442
2015,6,12.311131346233
2015,6,12.311131346233
2018,6,14.64394440805
2018,6,14.64394440805
2022,6,20.241734908757
2022,6,20.241734908757
2019,6,15.53097317968
2019,6,15.53097317968
2010,6,7.2161689735794
2010,6,7.2161689735794
2009,6,6.2153407907651
2009,6,6.2153407907651
2021,6,18.580654729224
2021,6,18.580654729224
2013,6,10.944644219805
2013,6,10.944644219805
2017,6,13.494163439379
2017,6,13.494163439379
2018,7,14.694422741276
2018,7,14.694422741276
2013,7,10.663905715122
2013,7,10.663905715122
2017,7,13.492974940346
2017,7,13.492974940346
2019,7,15.548526300324
2019,7,15.548526300324
2015,7,12.282856610019
2015,7,12.282856610019
2020,7,16.392120878621
2020,7,16.392120878621
2016,7,12.792302110591
2016,7,12.792302110591
2014,7,11.544908322602
2014,7,11.544908322602
2022,7,20.410682494006
2022,7,20.410682494006
2021,7,18.770367133118
2021,7,18.770367133118
2011,7,8.325657652936
2011,7,8.325657652936
2012,7,9.6496890164839
2012,7,9.6496890164839
2013,8,10.767113070257
2013,8,10.767113070257
2018,8,14.766186606963
2018,8,14.766186606963
2012,8,9.7535618876869
2012,8,9.7535618876869
2017,8,13.543671953813
2017,8,13.543671953813
2011,8,8.441119679827
2011,8,8.441119679827
2022,8,20.703828903713
2022,8,20.703828903713
2020,8,16.55076785374
2020,8,16.55076785374
2019,8,15.659892563365
2019,8,15.659892563365
2015,8,12.355188441604
2015,8,12.355188441604
2021,8,18.9639423114
2021,8,18.9639423114
2016,8,12.870687231054
2016,8,12.870687231054
2014,8,11.568370918093
2014,8,11.568370918093
2010,9,7.5893533052181
2010,9,7.5893533052181
2014,9,11.692024097918
2014,9,11.692024097918
2013,9,10.836341483373
2013,9,10.836341483373
2009,9,6.3219138719949
2009,9,6.3219138719949
2019,9,15.672504679757
2019,9,15.672504679757
2022,9,20.708232196401
2022,9,20.708232196401
